Latent ICC,Ordinal Dist.,gamma0,gamma1,rho11,rho12,rho22,rho_Bin2
0.01,Bell,-2.0219,2.4273,0.0052,-0.0021,0.0030,0.0049
0.01,Common,-2.0219,-1.2028,0.0051,0.0015,0.0009,0.0051
0.01,Rare,1.6083,2.4273,0.0051,-0.0017,0.0009,0.0053
0.01,U-shape,-0.0010,0.4065,0.0049,-0.0000,0.0002,0.0049
0.01,Rare-top,-0.0010,2.4273,0.0050,-0.0026,0.0021,0.0050
0.01,Even,-0.5160,0.8759,0.0051,-0.0004,0.0008,0.0051
0.02,Bell,-2.0330,2.4385,0.0099,-0.0039,0.0058,0.0098
0.02,Common,-2.0330,-1.2098,0.0097,0.0030,0.0019,0.0099
0.02,Rare,1.6153,2.4385,0.0099,-0.0037,0.0019,0.0097
0.02,U-shape,-0.0020,0.4075,0.0100,-0.0001,0.0004,0.0100
0.02,Rare-top,-0.0020,2.4385,0.0101,-0.0053,0.0042,0.0102
0.02,Even,-0.5196,0.8793,0.0100,-0.0007,0.0016,0.0100
0.05,Bell,-2.0675,2.4730,0.0252,-0.0099,0.0151,0.0253
0.05,Common,-2.0675,-1.2316,0.0251,0.0075,0.0047,0.0252
0.05,Rare,1.6371,2.4730,0.0249,-0.0092,0.0047,0.0245
0.05,U-shape,-0.0052,0.4106,0.0251,-0.0003,0.0010,0.0252
0.05,Rare-top,-0.0052,2.4730,0.0252,-0.0134,0.0106,0.0247
0.05,Even,-0.5307,0.8897,0.0256,-0.0019,0.0042,0.0256
