Latent ICC,Ordinal Dist.,gamma0,gamma1,gamma2,rho11,rho12,rho22,rho_Bin2
0.01,Bell1,-2.0219,1.0625,2.4273,0.0049,0.0002,0.0024,0.0052
0.01,Bell2,-2.0219,0.2027,2.4273,0.0050,0.0012,0.0020,0.0050
0.01,Common,-2.0219,-1.2028,-0.2089,0.0052,0.0009,0.0007,0.0051
0.01,Rare,0.6143,1.6083,2.4273,0.0051,-0.0013,0.0008,0.0052
0.01,U-shape,-0.2089,0.2027,0.6143,0.0050,-0.0002,0.0004,0.0050
0.01,Even,-0.9116,0.2027,1.3171,0.0051,0.0005,0.0007,0.0050
0.02,Bell1,-2.0330,1.0668,2.4385,0.0100,0.0003,0.0046,0.0100
0.02,Bell2,-2.0330,0.2027,2.4385,0.0101,0.0022,0.0039,0.0099
0.02,Common,-2.0330,-1.2098,-0.2109,0.0102,0.0017,0.0015,0.0101
0.02,Rare,0.6164,1.6153,2.4385,0.0102,-0.0027,0.0016,0.0102
0.02,U-shape,-0.2109,0.2027,0.6164,0.0099,-0.0003,0.0008,0.0098
0.02,Even,-0.9172,0.2027,1.3227,0.0100,0.0010,0.0014,0.0100
0.05,Bell1,-2.0675,1.0801,2.4730,0.0245,0.0008,0.0118,0.0252
0.05,Bell2,-2.0675,0.2027,2.4730,0.0251,0.0055,0.0101,0.0253
0.05,Common,-2.0675,-1.2316,-0.2173,0.0249,0.0044,0.0039,0.0251
0.05,Rare,0.6227,1.6371,2.4730,0.0253,-0.0068,0.0039,0.0251
0.05,U-shape,-0.2173,0.2027,0.6227,0.0253,-0.0009,0.0022,0.0253
0.05,Even,-0.9344,0.2027,1.3399,0.0253,0.0024,0.0037,0.0253
