#Clusters,Ordinal Dist.,Latent ICC,Empirical,GEE-Ordinal,GEE-Binary1,GEE-Binary2,WH-DE-Latent
20,Bell,0.01,61.1,\textbf{58.8},39.1,39.5,55.7
20,Bell,0.02,54.9,\textbf{49.7},33.7,33.8,44.3
20,Bell,0.05,42.1,\textbf{32.7},23.5,23.4,27.2
20,Common,0.01,62,\textbf{61.8},39.2,61.7,55.7
20,Common,0.02,56.5,\textbf{54.2},33.9,54.1,44.3
20,Common,0.05,43.8,\textbf{38.9},23.5,38.1,27.2
20,Rare,0.01,62.1,\textbf{61.8},\textbf{61.8},39.0,55.7
20,Rare,0.02,55.7,\textbf{54.1},\textbf{54.1},33.9,44.3
20,Rare,0.05,44.4,\textbf{39.0},38.2,23.7,27.2
20,U-shape,0.01,79.9,83.8,\textbf{80.9},\textbf{80.9},77.8
20,U-shape,0.02,73.6,75.8,\textbf{73.1},\textbf{73.1},65.3
20,U-shape,0.05,55.8,\textbf{56.2},54.4,54.4,41.9
20,Rare-top,0.01,80.5,82.5,\textbf{80.7},39.3,77.8
20,Rare-top,0.02,73,73.8,\textbf{72.9},33.4,65.3
20,Rare-top,0.05,57.2,\textbf{54.4},54.3,23.7,41.9
20,Even,0.01,82.8,85.2,76.0,76.6,\textbf{81.2}
20,Even,0.02,75.8,\textbf{76.7},68.0,68.7,69.0
20,Even,0.05,58.1,\textbf{55.3},49.3,49.9,44.9
50,Bell,0.01,95.2,\textbf{93.2},75.8,76.3,91.4
50,Bell,0.02,91.3,\textbf{87.0},68.2,68.4,81.9
50,Bell,0.05,78.7,\textbf{66.7},49.8,49.7,57.2
50,Common,0.01,95.2,\textbf{94.7},75.9,94.6,91.4
50,Common,0.02,92.2,\textbf{90.4},68.5,90.3,81.9
50,Common,0.05,81.3,\textbf{75.6},49.9,74.5,57.2
50,Rare,0.01,94.6,94.7,\textbf{94.6},75.7,91.4
50,Rare,0.02,92,\textbf{90.4},90.3,68.6,81.9
50,Rare,0.05,81.3,\textbf{75.7},74.7,50.4,57.2
50,U-shape,0.01,99.3,99.7,\textbf{99.4},\textbf{99.4},99.1
50,U-shape,0.02,97.6,98.8,\textbf{98.3},\textbf{98.3},96.1
50,U-shape,0.05,91.3,\textbf{91.7},90.6,90.5,79.3
50,Rare-top,0.01,99.3,99.6,\textbf{99.4},76.1,99.1
50,Rare-top,0.02,97.9,98.4,\textbf{98.2},67.8,96.1
50,Rare-top,0.05,91.1,\textbf{90.5},\textbf{90.5},50.2,79.3
50,Even,0.01,99.4,99.7,98.8,98.9,\textbf{99.4}
50,Even,0.02,98.2,\textbf{98.9},97.0,97.2,97.3
50,Even,0.05,91.4,\textbf{91.1},86.7,87.2,82.5
