#Clusters,Ordinal Dist.,Latent ICC,Empirical-4cat,GEE-Ordinal-3cat,GEE-Binary1,GEE-Binary2,WH-DE-Latent-3cat
20,Bell1,0.01,78,\textbf{78.6},39.5,73.6,74.6
20,Bell1,0.02,71.3,\textbf{69.2},33.6,65.7,62.0
20,Bell1,0.05,55.9,\textbf{49.0},23.8,47.7,39.3
20,Bell2,0.01,82.2,\textbf{82.4},39.3,81.1,77.5
20,Bell2,0.02,75,\textbf{74.1},33.5,73.6,64.9
20,Bell2,0.05,58.7,54.6,23.5,\textbf{54.7},41.6
20,Common,0.01,78,80.7,61.6,\textbf{79.4},75.3
20,Common,0.02,70.6,72.2,53.7,\textbf{71.6},62.6
20,Common,0.05,55.2,\textbf{53.2},38.2,\textbf{53.2},39.8
20,Rare,0.01,77.4,80.5,\textbf{79.3},61.5,75.3
20,Rare,0.02,71,72.0,\textbf{71.4},53.6,62.6
20,Rare,0.05,55.3,\textbf{53.0},\textbf{53.0},38.1,39.8
20,U-shape,0.01,81.6,85.0,79.5,79.5,\textbf{80.1}
20,U-shape,0.02,74.3,77.1,\textbf{71.9},\textbf{71.9},67.7
20,U-shape,0.05,57,\textbf{56.5},53.0,53.0,43.9
20,Even,0.01,82.8,\textbf{83.9},68.8,81.1,79.1
20,Even,0.02,76.5,\textbf{75.5},60.6,73.4,66.7
20,Even,0.05,59.3,\textbf{55.3},43.3,54.7,43.0
50,Bell1,0.01,99.1,\textbf{99.2},76.3,98.4,98.6
50,Bell1,0.02,97.8,\textbf{97.3},68.1,96.2,94.7
50,Bell1,0.05,90.2,\textbf{86.4},50.4,85.3,76.1
50,Bell2,0.01,99.5,\textbf{99.5},76.2,99.4,99.0
50,Bell2,0.02,98.4,98.5,67.9,\textbf{98.4},96.0
50,Bell2,0.05,93.4,90.7,49.9,\textbf{90.8},78.9
50,Common,0.01,99.2,99.4,94.6,\textbf{99.3},98.7
50,Common,0.02,97.9,98.1,90.1,\textbf{97.9},95.0
50,Common,0.05,91.4,\textbf{89.7},74.7,\textbf{89.7},76.8
50,Rare,0.01,99.2,99.4,\textbf{99.3},94.5,98.7
50,Rare,0.02,97.9,98.0,\textbf{97.9},90.0,95.0
50,Rare,0.05,91.3,\textbf{89.6},89.5,74.5,76.8
50,U-shape,0.01,99.3,99.7,\textbf{99.3},\textbf{99.3},\textbf{99.3}
50,U-shape,0.02,98.2,99.0,\textbf{98.0},\textbf{98.0},96.9
50,U-shape,0.05,91.9,\textbf{91.9},89.6,89.6,81.5
50,Even,0.01,99.7,\textbf{99.7},97.2,99.4,99.2
50,Even,0.02,98.4,98.7,94.1,\textbf{98.3},96.6
50,Even,0.05,92.6,\textbf{91.2},80.9,90.7,80.5
