scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
1,50,10,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,500,250,yes
2,50,10,0.6931471805599453,0.01,0.00499208974361935,2.2090683089850488e-4,-6.141969562276627e-5,0.00499208974361935,0.00499746398308053,U-shape,0.1388587612187981,0.5542884200469607,0.03692161024052715,500,250,yes
3,50,10,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,500,250,yes
4,50,10,0.6931471805599453,0.02,0.01000141776203714,4.0469891169355246e-4,-7.965573052915489e-5,0.01000141776203714,0.01004392326424172,U-shape,0.13786350697833163,0.5552836732713435,0.04208197646537809,500,250,yes
5,50,10,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,500,250,yes
6,50,10,0.6931471805599453,0.05,0.02546531292284136,0.00109880122741345,-3.32303476228942e-4,0.02546531292284136,0.02543717916546447,U-shape,0.13478203680535236,0.5583651511064808,0.05739049992218006,500,250,yes
7,100,10,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,1000,500,yes
8,100,10,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,1000,500,yes
9,100,10,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,1000,500,yes
10,50,20,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,1000,500,yes
11,50,20,0.6931471805599453,0.01,0.00499208974361935,2.2090683089850488e-4,-6.141969562276627e-5,0.00499208974361935,0.00499746398308053,U-shape,0.1388587612187981,0.5542884200469607,0.03692161024052715,1000,500,yes
12,50,20,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,1000,500,yes
13,50,20,0.6931471805599453,0.02,0.01000141776203714,4.0469891169355246e-4,-7.965573052915489e-5,0.01000141776203714,0.01004392326424172,U-shape,0.13786350697833163,0.5552836732713435,0.04208197646537809,1000,500,yes
14,50,20,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,1000,500,yes
15,50,20,0.6931471805599453,0.05,0.02546531292284136,0.00109880122741345,-3.32303476228942e-4,0.02546531292284136,0.02543717916546447,U-shape,0.13478203680535236,0.5583651511064808,0.05739049992218006,1000,500,yes
16,100,20,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,2000,1000,yes
17,100,20,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,2000,1000,yes
