scena,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH_DE_rho11_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
1,6.034832894811357e-4,5.212790049427369e-4,-0.0017621022925292,-0.4034920423964907,0.02659047091899262,0.02663725593963931,10000,10001,1,9.999000099990002e-5,4.038196180381962,50,10,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,500,250,yes,0.48726786446897535,0.4178357376910066,0.5612768416921632,0.6512938252616746,0.5180662048624398,0.5176691944481254,0.5493794259949718,0.6489237016754503,0.5238,0.6851,0.6854,0.525,0.5238,0.4636,0.4616,0.40343268875270105,0.403432688752697,0.4034326887526932
2,5.816833701654812e-4,5.30309135797854e-4,-0.00184555379809724,-0.6905115401336084,0.02706574066835134,0.02727506001822749,10000,10000,0,0,3.9903,50,10,0.6931471805599453,0.01,0.00499208974361935,2.2090683089850488e-4,-6.141969562276627e-5,0.00499208974361935,0.00499746398308053,U-shape,0.1388587612187981,0.5542884200469607,0.03692161024052715,500,250,yes,0.9092333254179732,0.6702098201551124,0.9501553476057174,0.9800750645390046,0.9231369848107808,0.9230853101504004,0.9408932770534864,0.9776963487933772,0.8949,0.9481,0.9476,0.8965,0.8949,0.8621,0.8609,0.6896727367230195,0.6896727367230129,0.6896727367230066
3,0.00470773018950301,5.560259444120588e-4,-0.00164518747419798,-0.39848933612084114,0.03223807068422121,0.03239986665709172,10000,10002,2,1.999600079984003e-4,4.152284771522848,50,10,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,500,250,yes,0.3836574126417191,0.36845358314794663,0.4838321169622584,0.6468846794157403,0.4446000005602249,0.4446135614812449,0.46839783990400985,0.6445572642609789,0.4762,0.6412,0.6408,0.4793,0.4762,0.4145,0.4122,0.40138997846894753,0.401389978468931,0.40138997846891994
4,0.00507531700687331,4.676532743557691e-4,-0.00160484959776437,-0.6930811518968579,0.03313522433387324,0.033171253335850213,10000,10001,1,9.999000099990002e-5,4.0865,50,10,0.6931471805599453,0.02,0.01000141776203714,4.0469891169355246e-4,-7.965573052915489e-5,0.01000141776203714,0.01004392326424172,U-shape,0.13786350697833163,0.5552836732713435,0.04208197646537809,500,250,yes,0.8118653003253172,0.6283937635896585,0.9064628239296356,0.979073111411716,0.8686066030088913,0.8681478301398292,0.8890115203448951,0.9766379150406428,0.8449,0.916,0.9163,0.8458,0.8449,0.8091,0.8046,0.6861807004279831,0.6861807004279549,0.6861807004279358
5,0.01754678247450518,4.6034992794406103e-4,-0.0011956869980059,-0.4003784151175026,0.04958720385965304,0.04968905882223394,10000,10001,1,9.999000099990002e-5,4.2085,50,10,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,500,250,yes,0.23614575483428424,0.2755581089860426,0.3385925720313978,0.6334017435413849,0.3101179681529211,0.3098750801060648,0.3215169264919234,0.6312044419972184,0.3762,0.5324,0.5308,0.3775,0.3762,0.3208,0.3196,0.3951985022726012,0.3951985022726045,0.3951985022725998
6,0.0176614738844344,3.40633476353971e-4,-0.00103644570496266,-0.6886913815154935,0.05082968661150108,0.05091461563825886,10000,10002,2,1.999600079984003e-4,4.2268,50,10,0.6931471805599453,0.05,0.02546531292284136,0.00109880122741345,-3.32303476228942e-4,0.02546531292284136,0.02543717916546447,U-shape,0.13478203680535236,0.5583651511064808,0.05739049992218006,500,250,yes,0.5643060206406019,0.5233638840951285,0.7481802701036743,0.9757720875872395,0.6949821765639803,0.6952475583240743,0.7139934178814837,0.973165310925274,0.7131,0.8232,0.8236,0.7148,0.7131,0.6614,0.6595,0.6755963019601953,0.6755963019602006,0.6755963019601912
7,0.00228161020071853,3.100814819650305e-4,-7.8847009404917e-4,-0.4062519624315488,0.01565960353306733,0.01575796380686885,10000,10000,0,0,3.9192,100,10,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,1000,500,yes,0.6552078601115316,0.5378570816547158,0.7802028939178125,0.9138783024455028,0.7363401249292252,0.7356299167298965,0.7631494829897397,0.911918180973588,0.76,0.8652,0.8641,0.7611,0.76,0.7067,0.7048,0.40343268875270105,0.403432688752697,0.4034326887526932
8,0.00704077263847534,1.2867778054685515e-4,-5.915488915190483e-4,-0.4019867719393233,0.02159173932563329,0.02167393881321462,10000,10000,0,0,4.0174,100,10,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,1000,500,yes,0.4833759181311397,0.4590096779993361,0.6515810964401899,0.9112021951770304,0.6059114154232673,0.6059358858781161,0.6270536907746802,0.9092329059570976,0.665,0.7919,0.7924,0.6684,0.665,0.6075,0.6067,0.40138997846894753,0.401389978468931,0.40138997846891994
9,0.02004943389290153,-7.741005545780185e-5,-8.197098512069185e-5,-0.4005163519147033,0.03875111861583304,0.03883474702327547,10000,10000,0,0,4.3398,100,10,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,1000,500,yes,0.2665320833292064,0.3211819707726826,0.4153678340331683,0.9027130555010154,0.3808077239447971,0.38042427965937586,0.3898410788286565,0.9007206791777128,0.4795,0.6343,0.6331,0.4837,0.4795,0.4226,0.4181,0.3951985022726012,0.3951985022726045,0.3951985022725998
10,0.00265550269664804,2.7311047137330537e-4,-8.740168746039784e-4,-0.4040752122460263,0.0159930836787653,0.01601809295144215,10000,10000,0,0,3.0264,50,20,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,1000,500,yes,0.7783705697831056,0.6979413192920233,0.8484775491363749,0.9138783024455028,0.8094601375252042,0.8090769407766157,0.8382616502866789,0.911918180973588,0.8164,0.864,0.8643,0.8165,0.8164,0.7986,0.7991,0.40343268875270105,0.403432688752697,0.4034326887526932
