scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,gamma0,gamma1,N,m,mean_rank_icc,mean_running_time
1,500,100,0.4054651081081644,0.01,even,-0.5159877182027522,0.8759268660862634,50000,25000,0.01819477386905188,309.76194841384887
2,500,100,0.6931471805599453,0.01,even,-0.38562618281130107,1.0324612998031433,50000,25000,0.04020759747483685,318.4008810544014
3,500,100,0.4054651081081644,0.02,even,-0.5195744631809277,0.8792860728076928,50000,25000,0.02431280478011602,316.0928143906593
4,500,100,0.6931471805599453,0.02,even,-0.38914353651347233,1.0357550965100768,50000,25000,0.046968586499244853,309.19462418317795
5,500,100,0.4054651081081644,0.05,even,-0.5306746857734366,0.8896821348969451,50000,25000,0.04324235782539755,309.6661655163765
6,500,100,0.6931471805599453,0.05,even,-0.40003354080895753,1.0459529978973945,50000,25000,0.06380502382918014,306.34549473762513
7,500,100,0.4054651081081644,0.01,rare,1.608276141789996,2.427333997914866,50000,25000,0.01159767624879359,307.7992119050026
8,500,100,0.6931471805599453,0.01,rare,1.7756718281037704,2.60223755094944,50000,25000,0.02354966859122223,305.1646931028366
9,500,100,0.4054651081081644,0.02,rare,1.615304596736779,2.438490148376623,50000,25000,0.01581039795142795,305.7841528868675
10,500,100,0.6931471805599453,0.02,rare,1.782581379230855,2.613240272763193,50000,25000,0.02914346428498794,302.1783730888367
11,500,100,0.4054651081081644,0.05,rare,1.6370556994825434,2.4730142342229033,50000,25000,0.03232473792927812,303.49054381132123
12,500,100,0.6931471805599453,0.05,rare,1.803972065020439,2.6472989537696536,50000,25000,0.04459610508656345,307.89689007997515
13,500,100,0.4054651081081644,0.01,common,-2.0218688899017336,-1.2028110335878195,50000,25000,0.01291175527962738,312.3078209853172
14,500,100,0.6931471805599453,0.01,common,-1.9090894474606124,-1.0825242355095177,50000,25000,0.02401909970344155,311.160027923584
15,500,100,0.4054651081081644,0.02,common,-2.0330251341903427,-1.2098394065121356,50000,25000,0.01739181767323472,305.3521695756912
16,500,100,0.6931471805599453,0.02,common,-1.9200930639067004,-1.0894340887185665,50000,25000,0.02793907985829265,300.8147263336182
17,500,100,0.4054651081081644,0.05,common,-2.067549125977829,-1.23159059181798,50000,25000,0.03414358076121956,553.0204267597198
18,500,100,0.6931471805599453,0.05,common,-1.9541518011800405,-1.11082484257754,50000,25000,0.0442964579039669,300.2427598667145
19,500,100,0.4054651081081644,0.01,bell,-2.021868429271497,2.427333136978035,50000,25000,0.01260247521888875,309.63014307737353
20,500,100,0.6931471805599453,0.01,bell,-1.9090897753161955,2.602236955952833,50000,25000,0.02503081431855272,313.1647215938568
21,500,100,0.4054651081081644,0.02,bell,-2.0330240633532446,2.4384893202160653,50000,25000,0.01933118140412299,311.0170605444908
22,500,100,0.6931471805599453,0.02,bell,-1.920092470247648,2.6132396587533884,50000,25000,0.03173287666178384,303.4965764546394
23,500,100,0.4054651081081644,0.05,bell,-2.0675487904754006,2.4730135119479013,50000,25000,0.03952168639903645,317.42911152124407
24,500,100,0.6931471805599453,0.05,bell,-1.9541511847934945,2.647298388661804,50000,25000,0.04913864398317117,300.81424567699435
25,500,100,0.4054651081081644,0.01,high01low2,-0.00100046410680799,2.427333855158212,50000,25000,0.01704625125222346,307.73549652814864
26,500,100,0.6931471805599453,0.01,high01low2,0.13885882507419414,2.602237132346388,50000,25000,0.03807513131300105,321.06614676713946
27,500,100,0.4054651081081644,0.02,high01low2,-0.00201642117527899,2.438489768973289,50000,25000,0.0238223234442448,313.24245084285735
28,500,100,0.6931471805599453,0.02,high01low2,0.13786344978163112,2.6132393309594564,50000,25000,0.04393184160935452,320.6797285723686
29,500,100,0.4054651081081644,0.05,high01low2,-0.00516052008161846,2.473013805577957,50000,25000,0.04203144704769656,323.5775774812698
30,500,100,0.6931471805599453,0.05,high01low2,0.13478203235754763,2.6472980195170672,50000,25000,0.06099781960020255,323.82357827186587
31,500,100,0.4054651081081644,0.01,U-shape,-0.00100062420303745,0.4064656181389724,50000,25000,0.01639564298304893,328.55366738557814
32,500,100,0.6931471805599453,0.01,U-shape,0.1388587612187981,0.5542884200469607,50000,25000,0.03692161024052715,313.31000321388245
33,500,100,0.4054651081081644,0.02,U-shape,-0.00201654034472483,0.4074815455394853,50000,25000,0.02201825248151671,314.69241712093356
34,500,100,0.6931471805599453,0.02,U-shape,0.13786350697833163,0.5552836732713435,50000,25000,0.04208197646537809,307.61510895967484
35,500,100,0.4054651081081644,0.05,U-shape,-0.00516061793847246,0.41062565613550583,50000,25000,0.03790449679799111,307.91500591278077
36,500,100,0.6931471805599453,0.05,U-shape,0.13478203680535236,0.5583651511064808,50000,25000,0.05739049992218006,310.1623208332062
