scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,gamma0,gamma1,N,m,rho11,rho22,rho12,bin_rho0,bin_rho01,pi_0,pi_1,pi_2,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,mean.pi_0,mean.pi_1,mean.pi_2,mean.pi_0_C,mean.pi_1_C,mean.pi_2_C,mean.pi_0_T,mean.pi_1_T,mean.pi_2_T
1,5000,100,0.4054651081081644,0.01,even,-0.5159877182027522,0.8759268660862634,500000,250000,0.00505726896434369,8.008906316459745e-4,-3.543616204591332e-4,0.00505726896434369,0.00506349961186723,0.3299999757805393,0.3300000471119272,0.33999997710750585,0.3743965211415954,0.33066873328619234,0.29493474557218474,0.2856034304194833,0.3293313609376621,0.385065208642827,0.33001886,0.3300384,0.33994274,0.37442088,0.33077544,0.29480368,0.28561684,0.32930136,0.3850818
2,5000,100,0.6931471805599453,0.01,even,-0.38562618281130107,1.0324612998031433,500000,250000,0.00505397920454193,8.612122487825177e-4,-4.079670375836984e-4,0.00505397920454193,0.00497354919047873,0.32999997597625924,0.3300000449208155,0.33999997910289687,0.4052364500921726,0.3311529464061551,0.263610603501644,0.2547635018603459,0.32884714343547594,0.4163893547041498,0.33000006,0.32995274,0.3400472,0.4053136,0.33100692,0.26367948,0.25468652,0.32889856,0.41641492
3,5000,100,0.4054651081081644,0.02,even,-0.5195744631809277,0.8792860728076928,500000,250000,0.01001610066179986,0.0015502302287268,-7.086203321704589e-4,0.01001610066179986,0.00998090183585973,0.3299999754991335,0.33000004669645167,0.339999977804334,0.3741737589432544,0.33066531694979107,0.2951609241068737,0.28582619205501253,0.32933477644311226,0.3848390315017942,0.33000476,0.32997562,0.34001962,0.37422496,0.33057884,0.2951962,0.28578456,0.3293724,0.38484304
4,5000,100,0.6931471805599453,0.02,even,-0.38914353651347233,1.0357550965100768,500000,250000,0.01027570592374058,0.00175214386979049,-7.83532139051996e-4,0.01027570592374058,0.0102137394367527,0.32999997623134614,0.3300000444226666,0.33999997934590515,0.4048655169394721,0.33114696063988297,0.263987522420563,0.25513443552322024,0.3288531282054503,0.4160124362712473,0.32998566,0.32996596,0.34004838,0.40482912,0.3309722,0.26419868,0.2551422,0.32895972,0.41589808
5,5000,100,0.4054651081081644,0.05,even,-0.5306746857734366,0.8896821348969451,500000,250000,0.0256279546113436,0.00416527680807883,-0.00185415591706065,0.0256279546113436,0.02563312897917953,0.32999997545106363,0.33000004615134304,0.33999997839757473,0.3734983777278352,0.3306549653392572,0.295846656932889,0.28650157317429203,0.3293451269634288,0.3841532998622605,0.33011428,0.32994,0.33994572,0.37326892,0.33054996,0.29618112,0.28695964,0.32933004,0.38371032
6,5000,100,0.6931471805599453,0.05,even,-0.40003354080895753,1.0459529978973945,500000,250000,0.02548129671539855,0.00437402549095693,-0.00196731493227517,0.02548129671539855,0.02528233081263875,0.32999997698827244,0.33000004298547525,0.33999998002623366,0.40374029894184565,0.33112883119185177,0.26513086986628387,0.25625965503469916,0.3288712547790987,0.4148690901861835,0.33014194,0.32980664,0.34005142,0.40402848,0.33080844,0.26516308,0.2562554,0.32880484,0.41493976
7,5000,100,0.4054651081081644,0.01,rare,1.608276141789996,2.427333997914866,500000,250000,0.00508371704778939,8.826749215227212e-4,-0.00173924843800858,0.00508371704778939,0.0052789133308041,0.8000000856179403,0.0999999924647878,0.09999992191724756,0.8320483702248955,0.085928192571272,0.08202343720381486,0.767951801010985,0.1140717923583036,0.11797640663068024,0.80006526,0.09995968,0.09997506,0.83220276,0.08583384,0.0819634,0.76792776,0.11408552,0.11798672
8,5000,100,0.6931471805599453,0.01,rare,1.7756718281037704,2.60223755094944,500000,250000,0.00481042870703862,9.232291251322792e-4,-0.00176322126783375,0.00481042870703862,0.00478911770083141,0.80000008413068735,0.0999999916535006,0.0999999242157882,0.8540556737386288,0.07610718252061532,0.06983714374073823,0.7459444945227459,0.1238928007863859,0.13016270469083818,0.80006328,0.09994504,0.09999168,0.8542696,0.07598288,0.06974752,0.74585696,0.1239072,0.13023584
9,5000,100,0.4054651081081644,0.02,rare,1.615304596736779,2.438490148376623,500000,250000,0.00987392432095258,0.00188097720779652,-0.00366566301972835,0.00987392432095258,0.00967524718107283,0.8000000847635791,0.09999999254213617,0.09999992269422416,0.8318883601449961,0.08599895231983185,0.08211268753511147,0.7681118093821622,0.11400103276444049,0.11788715785333688,0.79993058,0.10003834,0.10003108,0.83178912,0.08600008,0.0822108,0.76807204,0.1140766,0.11785136
10,5000,100,0.6931471805599453,0.02,rare,1.782581379230855,2.613240272763193,500000,250000,0.01018304690860213,0.00186541251377956,-0.00359176304786097,0.01018304690860213,0.01043385994020345,0.8000000840004884,0.09999999092438654,0.09999992507506454,0.8537930229584004,0.07622562854542675,0.06998134849611246,0.7462071450425765,0.12377435330334632,0.13001850165401663,0.79995652,0.10001832,0.10002516,0.85372492,0.07622808,0.070047,0.74618812,0.12380856,0.13000332
