scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,ordinal_dist_label,gamma0,gamma1,target_pi0,target_pi1,target_pi2,OR,phi,marginal_log_OR,N,m,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,pi_0,pi_1,pi_2
1,5000,100,0.4054651081081644,0.01,bell,Bell,-2.9,3.32,0.1,0.8,0.1,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.052876846716029414,0.9116669936269135,0.035456159657039396,0.0359540835798876,0.9118886754822924,0.05215724093780224,0.04441546514795851,0.9117778345546029,0.043806700297420814
2,5000,100,0.4054651081081644,0.01,common,Common,-2,-1.1,0.1,0.1,0.8,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.12025952067947615,0.13051492230262596,0.7492255570178662,0.08367678613989371,0.09905933605308065,0.8172638778070078,0.10196815340968493,0.1147871291778533,0.7832447174124371
3,5000,100,0.4054651081081644,0.01,rare,Rare,1.3,2.3,0.8,0.1,0.1,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.7847362524750097,0.12318145688849422,0.09208229063645862,0.7089006928303716,0.15928808539909453,0.13181122177050242,0.7468184726526906,0.14123477114379437,0.11194675620348052
4,5000,100,0.4054651081081644,0.01,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.47663482525669765,0.14523533998437643,0.37812983475890416,0.3782549909788532,0.14524294423800335,0.4765020647831217,0.4274449081177754,0.14523914211118988,0.42731594977101295
5,5000,100,0.4054651081081644,0.01,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.47663482525669765,0.48790901508624523,0.035456159657039396,0.3782549909788532,0.5695877680833269,0.05215724093780224,0.4274449081177754,0.528748391584786,0.043806700297420814
6,5000,100,0.4054651081081644,0.01,even,Even,-0.8,0.6,0.33,0.33,0.34,1.5,0.99498743710662,0.40343268875270105,500000,250000,0.31088396033479404,0.3340839676175869,0.3550320720475914,0.2315779418363605,0.31666148643500236,0.45176057172860834,0.27123095108557727,0.3253727270262946,0.4033963218880999
7,5000,100,0.4054651081081644,0.02,bell,Bell,-2.9,3.32,0.1,0.8,0.1,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.053613328214322735,0.9103540345014189,0.03603263728419791,0.03653577251024495,0.9105763004274079,0.05288792706228669,0.04507455036228385,0.9104651674644134,0.0444602821732423
8,5000,100,0.4054651081081644,0.02,common,Common,-2,-1.1,0.1,0.1,0.8,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.12132960631339666,0.13048749244858202,0.7481829012379608,0.08461067965534683,0.09926085823398546,0.8161284621106072,0.10297014298437174,0.11487417534128375,0.7821556816742841
9,5000,100,0.4054651081081644,0.02,rare,Rare,1.3,2.3,0.8,0.1,0.1,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.7836278427193905,0.12331654480270975,0.09305561247783926,0.7079698304853854,0.15912285317310457,0.1329073163414494,0.745798836602388,0.14121969898790715,0.11298146440964432
10,5000,100,0.4054651081081644,0.02,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.47675295969767295,0.14452469364960813,0.37872234665265025,0.3788469453773986,0.14453218612154545,0.4766208685009873,0.4277999525375358,0.1445284398855768,0.42767160757681877
11,5000,100,0.4054651081081644,0.02,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.47675295969767295,0.4872144030180686,0.03603263728419791,0.3788469453773986,0.5682651275602542,0.05288792706228669,0.4277999525375358,0.5277397652891613,0.0444602821732423
12,5000,100,0.4054651081081644,0.02,even,Even,-0.8,0.6,0.33,0.33,0.34,1.5,0.9899494936611666,0.40138997846894753,500000,250000,0.311748061336108,0.3325273977292007,0.3557245409346107,0.23266040256364,0.3153362809363156,0.4520033164999616,0.272204231949874,0.32393183933275815,0.40386392871728616
13,5000,100,0.4054651081081644,0.05,bell,Bell,-2.9,3.32,0.1,0.8,0.1,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.05590513802317897,0.906259292949151,0.03783556902765143,0.03835469017694319,0.906483208003143,0.055162101819895136,0.04712991410006108,0.906371250476147,0.04649883542377328
14,5000,100,0.4054651081081644,0.05,common,Common,-2,-1.1,0.1,0.1,0.8,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.12462328382930501,0.13037164297700288,0.7450050731936734,0.08749935493319952,0.09984700740167954,0.8126536376651023,0.10606131938125227,0.11510932518934121,0.7788293554293879
15,5000,100,0.4054651081081644,0.05,rare,Rare,1.3,2.3,0.8,0.1,0.1,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.780243042117676,0.1236945881140898,0.09606236976821554,0.7051377264819338,0.15858546897204107,0.13627680454600655,0.7426903842998049,0.14114002854306543,0.11616958715711104
16,5000,100,0.4054651081081644,0.05,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.47711104225753936,0.14236849551735745,0.3805204622250846,0.3806433644774305,0.14237565560510684,0.47698097991744387,0.4288772033674849,0.14237207556123216,0.4287507210712642
17,5000,100,0.4054651081081644,0.05,high01low2,Rare-top,-0.094,3.32,0.45,0.45,0.1,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.47711104225753936,0.4850533887147907,0.03783556902765143,0.3806433644774305,0.5641945337026557,0.055162101819895136,0.4288772033674849,0.5246239612087232,0.04649883542377328
18,5000,100,0.4054651081081644,0.05,even,Even,-0.8,0.6,0.33,0.33,0.34,1.5,0.9746794344808963,0.39519850227260117,500000,250000,0.3143751600605222,0.3277977370577533,0.357827102881706,0.2359628475483335,0.31129793496521735,0.4527392174864306,0.2751690038044278,0.3195478360114853,0.4052831601840683
19,5000,100,0.6931471805599453,0.01,bell,Bell,-2.9,3.32,0.1,0.8,0.1,2,0.99498743710662,0.6896727367230195,500000,250000,0.052876846716029414,0.9116669936269135,0.035456159657039396,0.027248337673064567,0.9044888442677791,0.06826281805913874,0.04006259219454699,0.9080779189473462,0.05185948885808907
20,5000,100,0.6931471805599453,0.01,common,Common,-2,-1.1,0.1,0.1,0.8,2,0.99498743710662,0.6896727367230195,500000,250000,0.12025952067947615,0.13051492230262596,0.7492255570178662,0.06418503951675192,0.07960531182472458,0.8562096486585058,0.09222228009811403,0.10506011706367527,0.8027176028381859
21,5000,100,0.6931471805599453,0.01,rare,Rare,1.3,2.3,0.8,0.1,0.1,2,0.99498743710662,0.6896727367230195,500000,250000,0.7847362524750097,0.12318145688849422,0.09208229063645862,0.6465277025433115,0.18532267102242045,0.16814962643423942,0.7156319775091606,0.15425206395545732,0.13011595853534902
22,5000,100,0.6931471805599453,0.01,U-shape,U-shape,-0.094,0.5,0.45,0.1,0.45,2,0.99498743710662,0.6896727367230195,500000,250000,0.47663482525669765,0.14523533998437643,0.37812983475890416,0.31363028801502124,0.13847228219780064,0.547897429787156,0.39513255663585944,0.14185381109108852,0.4630136322730301
