scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3
1,50,10,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,U-shape,500,250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes,yes,0.4603,0.7356,0.7347,0.4617,0.4603,-0.40294076766563575,0.0216708147168662,0.0218084720345584,10000,10008,8,7.993605115907274e-4,6.351888866679992,0.0012367994044137,5.225747296101556e-4,-0.0019459249059679,3.0338988220784496e-4,5.587698712405566e-4,-0.00202589409655858
2,50,10,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,U-shape,500,250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes,yes,0.4136,0.6933,0.691,0.4144,0.4136,-0.4010950817882562,0.02657267524028442,0.02671691267965125,10000,10010,10,9.99000999000999e-4,6.431041375174895,0.00571022027481209,5.601503999130405e-4,-0.0016779351911378,3.237430893448556e-5,5.438176884122694e-4,-0.00160558258685992
3,50,10,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,U-shape,500,250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes,yes,0.3153,0.5776,0.5785,0.3173,0.3153,-0.39465650489306936,0.04177650282994942,0.0416200022034858,10000,10012,12,0.00119856172592888,7.045363709032774,0.01900275456996879,8.308833277676931e-4,-0.0010699603620606,-7.518705993399167e-4,0.00107916036962734,-0.00108050502609002
4,50,20,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,U-shape,1000,500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes,yes,0.8163,0.8867,0.8876,0.8163,0.8163,-0.4063113926931448,0.01429982760429927,0.01434559892715251,10000,10000,0,0,3.8249,0.00294830291365593,2.1362194384620827e-4,-7.296887256867576e-4,3.209525014965275e-5,2.4537234899164786e-4,-8.101635000306561e-4
5,50,20,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,U-shape,1000,500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes,yes,0.744,0.8288,0.8297,0.7428,0.744,-0.40400123305451774,0.01747390900062301,0.0175156892706357,10000,10000,0,0,3.8575,0.00741011849451388,5.073334628708585e-4,-5.908521935265177e-4,-2.957558642000729e-4,4.598675969991669e-4,-6.397094553963114e-4
6,50,20,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,U-shape,1000,500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes,yes,0.5696,0.6852,0.6852,0.5704,0.5696,-0.3993802670604462,0.02728784487098899,0.02729145911906292,10000,10000,0,0,4.0708,0.02144062860200373,7.550140540084849e-4,-7.32481373840953e-5,-0.00121977812588548,0.00102457728864938,-2.5347561930278777e-5
7,50,50,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,U-shape,2500,1250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no,no,0.9935,0.9934,0.9935,0.9915,0.9915,-0.40288029068782616,0.00659342853799722,0.00659194813037225,10000,10000,0,0,2.8095,0.00410768203156488,2.2101221910509063e-4,-2.4628806466063855e-4,-1.8192815367845737e-4,2.4079834508332196e-4,-2.857114384848483e-4
8,50,50,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,U-shape,2500,1250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no,no,0.9825,0.9818,0.9825,0.9761,0.9764,-0.4017822304579737,0.00806128276425092,0.0080544444368289,10000,10000,0,0,2.8463,0.00895199473354748,2.48168772162565e-4,3.1003160043937434e-5,-5.72808007129716e-4,4.371490794165392e-4,-1.2263967330103662e-7
9,50,50,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,U-shape,2500,1250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no,no,0.9196,0.9191,0.9196,0.9005,0.9006,-0.3978531553098485,0.01258550877593285,0.01255948934288907,10000,10000,0,0,2.9987,0.02373840068392263,6.33963446581526e-4,5.84693559394123e-4,-0.00157579567692197,9.860651268609388e-4,6.763651380027789e-4
10,50,100,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,U-shape,5000,2500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no,no,1,1,1,1,1,-0.4039992283067671,0.00344476701619936,0.00344345098376099,10000,10000,0,0,2.3956,0.00457905936715086,1.3499260534530265e-4,-1.4616334210231191e-5,-3.2606416037377057e-4,1.951686927244288e-4,5.83848428942281e-5
11,50,100,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,U-shape,5000,2500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no,no,0.9997,0.9997,0.9997,0.9997,0.9997,-0.4020006050837186,0.00422668152425176,0.00422292058803554,10000,10000,0,0,2.4385,0.00948905475235488,2.754826544548478e-4,2.2308108193903767e-4,-5.630789990162009e-4,3.706988488582984e-4,1.948943041638542e-4
