scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,bin_rho0,bin_rho01,mean_rank_icc,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster
1,50,10,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,500,250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes
2,50,10,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,500,250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes
3,50,10,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,500,250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes
4,50,20,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,1000,500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes
5,50,20,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,1000,500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes
6,50,20,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,1000,500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes
7,50,50,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,2500,1250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no
8,50,50,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,2500,1250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no
9,50,50,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,2500,1250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no
10,50,100,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,5000,2500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no
11,50,100,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,5000,2500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no
12,50,100,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,5000,2500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no
13,50,10,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,500,250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes
14,50,10,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,500,250,-2.03302431246567,0.2027326357546678,2.438489820941849,yes
15,50,10,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,500,250,-2.067548456966534,0.202732628745128,2.473013951513486,yes
16,50,20,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,1000,500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,yes
17,50,20,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,1000,500,-2.03302431246567,0.2027326357546678,2.438489820941849,yes
18,50,20,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,1000,500,-2.067548456966534,0.202732628745128,2.473013951513486,yes
19,50,50,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,2500,1250,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no
20,50,50,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,2500,1250,-2.03302431246567,0.2027326357546678,2.438489820941849,no
21,50,50,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,2500,1250,-2.067548456966534,0.202732628745128,2.473013951513486,no
22,50,100,0.4054651081081644,0.01,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.01707238240442779,bell,5000,2500,-2.0218684352947047,0.20273259646872627,2.4273336849138403,no
23,50,100,0.4054651081081644,0.02,0.01011203855086086,0.00215808851456012,0.00389257808533562,0.01011203855086086,0.00990386743838306,0.02277824832352722,bell,5000,2500,-2.03302431246567,0.2027326357546678,2.438489820941849,no
24,50,100,0.4054651081081644,0.05,0.02512874994011783,0.0055311098869347,0.01012984049784537,0.02512874994011783,0.02525566081947008,0.04201043156359595,bell,5000,2500,-2.067548456966534,0.202732628745128,2.473013951513486,no
25,50,10,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,500,250,-2.021868458385526,1.0624921415811426,2.427333182860899,yes
26,50,10,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,500,250,-2.033023753051062,1.0667846664317633,2.438490454034623,yes
27,50,10,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,500,250,-2.067548284392464,1.080067558522768,2.473014182070595,yes
28,50,20,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,1000,500,-2.021868458385526,1.0624921415811426,2.427333182860899,yes
29,50,20,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,1000,500,-2.033023753051062,1.0667846664317633,2.438490454034623,yes
30,50,20,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,1000,500,-2.067548284392464,1.080067558522768,2.473014182070595,yes
31,50,50,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,2500,1250,-2.021868458385526,1.0624921415811426,2.427333182860899,no
32,50,50,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,2500,1250,-2.033023753051062,1.0667846664317633,2.438490454034623,no
33,50,50,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,2500,1250,-2.067548284392464,1.080067558522768,2.473014182070595,no
34,50,100,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,5000,2500,-2.021868458385526,1.0624921415811426,2.427333182860899,no
35,50,100,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,5000,2500,-2.033023753051062,1.0667846664317633,2.438490454034623,no
36,50,100,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,5000,2500,-2.067548284392464,1.080067558522768,2.473014182070595,no
37,50,10,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,0.00517040066565482,0.00507114196099667,0.01592918569816168,common,500,250,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,yes
38,50,10,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,0.01015443025636524,0.01006576432483053,0.02238224262371262,common,500,250,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,yes
39,50,10,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,0.02491590475441047,0.02505788659760843,0.03813681552360768,common,500,250,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,yes
40,50,20,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,0.00517040066565482,0.00507114196099667,0.01592918569816168,common,1000,500,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,yes
41,50,20,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,0.01015443025636524,0.01006576432483053,0.02238224262371262,common,1000,500,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,yes
42,50,20,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,0.02491590475441047,0.02505788659760843,0.03813681552360768,common,1000,500,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,yes
43,50,50,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,0.00517040066565482,0.00507114196099667,0.01592918569816168,common,2500,1250,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,no
44,50,50,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,0.01015443025636524,0.01006576432483053,0.02238224262371262,common,2500,1250,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,no
45,50,50,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,0.02491590475441047,0.02505788659760843,0.03813681552360768,common,2500,1250,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,no
46,50,100,0.4054651081081644,0.01,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,0.00517040066565482,0.00507114196099667,0.01592918569816168,common,5000,2500,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,no
47,50,100,0.4054651081081644,0.02,0.01015443025636524,0.00174309545787781,0.00146773080951095,0.01015443025636524,0.01006576432483053,0.02238224262371262,common,5000,2500,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,no
48,50,100,0.4054651081081644,0.05,0.02491590475441047,0.00440168801369788,0.00388730281666592,0.02491590475441047,0.02505788659760843,0.03813681552360768,common,5000,2500,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,no
49,50,10,0.4054651081081644,0.01,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,0.005054821922011,0.00504060189606158,0.01711377124834828,even,500,250,-0.911646705010349,0.2027325451854841,1.317111793888632,yes
50,50,10,0.4054651081081644,0.02,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,0.01004023760769139,0.0100344362786641,0.0228874851150259,even,500,250,-0.9172139192349448,0.2027325416295258,1.3226790007905478,yes
51,50,10,0.4054651081081644,0.05,0.02532526695822606,0.00238433892037487,0.00366541323440195,0.02532526695822606,0.02530163376801608,0.04098079431271701,even,500,250,-0.9344430726917672,0.2027325299515743,1.339908132540895,yes
