scena,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,bin_rho0,bin_rho01,mean_rank_icc,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
1,-0.40294076766563575,0.0216708147168662,0.0218084720345584,10000,10008,8,7.993605115907274e-4,6.351888866679992,0.0012367994044137,5.225747296101556e-4,-0.0019459249059679,3.0338988220784496e-4,5.587698712405566e-4,-0.00202589409655858,50,10,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,500,250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes,0.5092010486734384,0.42893304221109557,0.6757333291717715,0.5030985769305504,0.5032797355847292,0.5630297739637221,0.6733736633631313,0.4603,0.7356,0.7347,0.4617,0.4603,0.40343268875270105,0.4034326887526986,0.4034326887526903
2,-0.4010950817882562,0.02657267524028442,0.02671691267965125,10000,10010,10,9.99000999000999e-4,6.431041375174895,0.00571022027481209,5.601503999130405e-4,-0.0016779351911378,3.237430893448556e-5,5.438176884122694e-4,-0.00160558258685992,50,10,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,500,250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes,0.4019003405811111,0.3801324092680365,0.6713228326038061,0.4344912908910277,0.43493683380159337,0.48043242115109036,0.6690036135664175,0.4136,0.6933,0.691,0.4144,0.4136,0.40138997846894753,0.4013899784689354,0.40138997846891117
3,-0.39465650489306936,0.04177650282994942,0.0416200022034858,10000,10012,12,0.00119856172592888,7.045363709032774,0.01900275456996879,8.308833277676931e-4,-0.0010699603620606,-7.518705993399167e-4,0.00107916036962734,-0.00108050502609002,50,10,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,500,250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes,0.24719043889482484,0.2809503898294393,0.6578102178957888,0.3012381292099825,0.3012521402830892,0.3234364543511711,0.6556148346485262,0.3153,0.5776,0.5785,0.3173,0.3153,0.39519850227260117,0.3951985022726059,0.39519850227259
4,-0.4063113926931448,0.01429982760429927,0.01434559892715251,10000,10000,0,0,3.8249,0.00294830291365593,2.1362194384620827e-4,-7.296887256867576e-4,3.209525014965275e-5,2.4537234899164786e-4,-8.101635000306561e-4,50,20,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,1000,500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,yes,0.8007947532793994,0.7117725431316226,0.9278351880125205,0.794697078274024,0.7948796588444194,0.8499493431847042,0.9260762458674553,0.8163,0.8867,0.8876,0.8163,0.8163,0.40343268875270105,0.4034326887526986,0.4034326887526903
5,-0.40400123305451774,0.01747390900062301,0.0175156892706357,10000,10000,0,0,3.8575,0.00741011849451388,5.073334628708585e-4,-5.908521935265177e-4,-2.957558642000729e-4,4.598675969991669e-4,-6.397094553963114e-4,50,20,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,1000,500,-0.2109299364249117,0.20273252727767532,0.6163950027327021,yes,0.6774244293973969,0.6481461891347206,0.9254250159873145,0.7185595747770628,0.7190995615095961,0.7710928041318079,0.9236538634381677,0.744,0.8288,0.8297,0.7428,0.744,0.40138997846894753,0.4013899784689354,0.40138997846891117
6,-0.3993802670604462,0.02728784487098899,0.02729145911906292,10000,10000,0,0,4.0708,0.02144062860200373,7.550140540084849e-4,-7.32481373840953e-5,-0.00121977812588548,0.00102457728864938,-2.5347561930278777e-5,50,20,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,1000,500,-0.21728347088655856,0.20273249113471445,0.6227484811751647,yes,0.43858016766272717,0.4966372666050373,0.9177441423391383,0.5299963388043264,0.5300189674242987,0.5651254901704768,0.9159401329661713,0.5696,0.6852,0.6852,0.5704,0.5696,0.39519850227260117,0.3951985022726059,0.39519850227259
7,-0.40288029068782616,0.00659342853799722,0.00659194813037225,10000,10000,0,0,2.8095,0.00410768203156488,2.2101221910509063e-4,-2.4628806466063855e-4,-1.8192815367845737e-4,2.4079834508332196e-4,-2.857114384848483e-4,50,50,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,2500,1250,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no,0.9933237229510467,0.978421564241296,0.9997202144157459,0.9926567022084414,0.9926773177528501,0.9972603227237758,0.9996950779652122,0.9935,0.9934,0.9935,0.9915,0.9915,0.40343268875270105,0.4034326887526986,0.4034326887526903
8,-0.4017822304579737,0.00806128276425092,0.0080544444368289,10000,10000,0,0,2.8463,0.00895199473354748,2.48168772162565e-4,3.1003160043937434e-5,-5.72808007129716e-4,4.371490794165392e-4,-1.2263967330103662e-7,50,50,0.4054651081081644,0.02,0.00986288422540057,-3.403008771899945e-4,8.170806810123305e-4,0.00986288422540057,0.00982474045659102,0.02311673172045924,U-shape,2500,1250,-0.2109299364249117,0.20273252727767532,0.6163950027327021,no,0.9690589337241607,0.9591012515913474,0.9996904372648572,0.9800028201465826,0.980125045020761,0.9896367174009184,0.9996632875872316,0.9825,0.9818,0.9825,0.9761,0.9764,0.40138997846894753,0.4013899784689354,0.40138997846891117
9,-0.3978531553098485,0.01258550877593285,0.01255948934288907,10000,10000,0,0,2.9987,0.02373840068392263,6.33963446581526e-4,5.84693559394123e-4,-0.00157579567692197,9.860651268609388e-4,6.763651380027789e-4,50,50,0.4054651081081644,0.05,0.02526018130775966,-8.616981021086435e-4,0.00217466434454956,0.02526018130775966,0.02525762953123137,0.04026825468323852,U-shape,2500,1250,-0.21728347088655856,0.20273249113471445,0.6227484811751647,no,0.8145034208869932,0.8698502249954871,0.999581199075238,0.8958056999364673,0.8958219621709113,0.9189858057655858,0.9995470806493161,0.9196,0.9191,0.9196,0.9005,0.9006,0.39519850227260117,0.3951985022726059,0.39519850227259
10,-0.4039992283067671,0.00344476701619936,0.00344345098376099,10000,10000,0,0,2.3956,0.00457905936715086,1.3499260534530265e-4,-1.4616334210231191e-5,-3.2606416037377057e-4,1.951686927244288e-4,5.83848428942281e-5,50,100,0.4054651081081644,0.01,0.00503612884216824,-1.7106377497428635e-4,4.252909872094897e-4,0.00503612884216824,0.00502438902158475,0.01755726659664128,U-shape,5000,2500,-0.2088769764427236,0.2027325348096615,0.6143420544131365,no,0.9999918713971,0.9998795053139461,0.9999999937624299,0.9999898945436952,0.999989959306807,0.999998929817531,0.9999999923708567,1,1,1,1,1,0.40343268875270105,0.4034326887526986,0.4034326887526903
