scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,mean_rank_icc,mean_running_time
1,500,100,0.4054651081081644,0.01,even,50000,25000,-0.911646705010349,0.2027325451854841,1.317111793888632,0.01711377124834828,316.8459791851044
2,500,100,0.4054651081081644,0.02,even,50000,25000,-0.9172139192349448,0.2027325416295258,1.3226790007905478,0.0228874851150259,318.5983620119095
3,500,100,0.4054651081081644,0.05,even,50000,25000,-0.9344430726917672,0.2027325299515743,1.339908132540895,0.04098079431271701,308.68377979278563
4,500,100,0.4054651081081644,0.01,rare,50000,25000,0.6143421759537722,1.6082760389321409,2.4273332801459513,0.01616411510908873,305.4601173734665
5,500,100,0.4054651081081644,0.02,rare,50000,25000,0.6163950682600314,1.615304386449409,2.4384892349566445,0.02165577789758892,299.4399723863602
6,500,100,0.4054651081081644,0.05,rare,50000,25000,0.622748834876065,1.6370561185964014,2.473014612461182,0.03842342796127971,558.8348853945732
7,500,100,0.4054651081081644,0.01,common,50000,25000,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,0.01592918569816168,556.800110886097
8,500,100,0.4054651081081644,0.02,common,50000,25000,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,0.02238224262371262,550.907595295906
9,500,100,0.4054651081081644,0.05,common,50000,25000,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,0.03813681552360768,297.9326579451561
10,500,100,0.4054651081081644,0.01,bell,50000,25000,-2.0218684352947047,0.20273259646872627,2.4273336849138403,0.01707238240442779,322.86213992595674
11,500,100,0.4054651081081644,0.02,bell,50000,25000,-2.03302431246567,0.2027326357546678,2.438489820941849,0.02277824832352722,322.0365306329727
12,500,100,0.4054651081081644,0.05,bell,50000,25000,-2.067548456966534,0.202732628745128,2.473013951513486,0.04201043156359595,319.6535531926155
13,500,100,0.4054651081081644,0.01,U-shape,50000,25000,-0.2088769764427236,0.2027325348096615,0.6143420544131365,0.01755726659664128,303.14447050333024
14,500,100,0.4054651081081644,0.02,U-shape,50000,25000,-0.2109299364249117,0.20273252727767532,0.6163950027327021,0.02311673172045924,301.0455868244171
15,500,100,0.4054651081081644,0.05,U-shape,50000,25000,-0.21728347088655856,0.20273249113471445,0.6227484811751647,0.04026825468323852,298.5803751111031
16,500,100,0.4054651081081644,0.01,bell2,50000,25000,-2.021868458385526,1.0624921415811426,2.427333182860899,0.0161558746054162,306.3132011270523
17,500,100,0.4054651081081644,0.02,bell2,50000,25000,-2.033023753051062,1.0667846664317633,2.438490454034623,0.02379600440802583,304.9095044708252
18,500,100,0.4054651081081644,0.05,bell2,50000,25000,-2.067548284392464,1.080067558522768,2.473014182070595,0.04290162289644682,324.14029739379885
