scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,rho11,rho12,rho22,bin_rho0,bin_rho01,pi_0,pi_1,pi_2,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,mean.pi_0,mean.pi_1,mean.pi_2,mean.pi_0_C,mean.pi_1_C,mean.pi_2_C,mean.pi_0_T,mean.pi_1_T,mean.pi_2_T
1,5000,100,0.4054651081081644,0.01,even,500000,250000,-0.911646705010349,0.2027325451854841,1.317111793888632,0.005054821922011,4.7723072236650194e-4,7.138211856116247e-4,0.005054821922011,0.00504060189606158,0.249999953001554,0.2500000448146816,0.5000000021837288,0.2875983418592564,0.26266044050977516,0.4497412176309328,0.21240156414385153,0.237339649119588,0.5502587867365247,0.24999912,0.25000592,0.49999496,0.28754844,0.26273184,0.44971972,0.2124498,0.23728,0.5502702
2,5000,100,0.4054651081081644,0.02,even,500000,250000,-0.9172139192349448,0.2027325416295258,1.3226790007905478,0.01004023760769139,9.790610550575506e-4,0.00140598895527455,0.01004023760769139,0.0100344362786641,0.24999995288662963,0.25000004406915777,0.5000000030441158,0.28741020424817815,0.26259580540895433,0.4499939903427707,0.2125897015250811,0.2374042827293612,0.5500060157454609,0.24997576,0.24999558,0.50002866,0.28741864,0.26254748,0.45003388,0.21253288,0.23744368,0.55002344
3,5000,100,0.4054651081081644,0.05,even,500000,250000,-0.9344430726917672,0.2027325299515743,1.339908132540895,0.02532526695822606,0.00238433892037487,0.00366541323440195,0.02532526695822606,0.02530163376801608,0.2499999527225078,0.2500000414613862,0.5000000058160874,0.28683975135526113,0.2623999441949456,0.45076030444977466,0.21316015408975444,0.23760013872782676,0.5492397071824,0.25005424,0.25001498,0.49993078,0.287037,0.26232468,0.45063832,0.21307148,0.23770528,0.54922324
4,5000,100,0.4054651081081644,0.01,rare,500000,250000,0.6143421759537722,1.6082760389321409,2.4273332801459513,0.00512240352815277,-0.00130873409432636,7.604052634917283e-4,0.00512240352815277,0.00523653748807188,0.600000049316463,0.20000002003182352,0.19999993065167937,0.6482287979394284,0.18381955798374908,0.16795164407679378,0.5517713006934976,0.216180482079898,0.232048217226565,0.60001612,0.19996526,0.20001862,0.64815684,0.18376204,0.16808112,0.5518754,0.21616848,0.23195612
5,5000,100,0.4054651081081644,0.02,rare,500000,250000,0.6163950682600314,1.615304386449409,2.4384892349566445,0.01018057904555025,-0.00268596493616035,0.00155385938618122,0.01018057904555025,0.01024784850436618,0.6000000346209526,0.20000001704647952,0.19999994833248777,0.6479864201769867,0.1839019108548444,0.16811166896808605,0.5520136490649186,0.2160981232381146,0.2318882276968894,0.60001512,0.20005816,0.19992672,0.64776232,0.18405524,0.16818244,0.55226792,0.21606108,0.231671
6,5000,100,0.4054651081081644,0.05,rare,500000,250000,0.622748834876065,1.6370561185964014,2.473014612461182,0.02531482939743231,-0.00684080741734957,0.00394013380311282,0.02531482939743231,0.02511403145714221,0.6000000948058355,0.20000005231215892,0.19999985288198685,0.647251701945235,0.184151515113692,0.16859678294105435,0.5527484876664361,0.21584858951062583,0.23140292282291933,0.60000486,0.19994912,0.20004602,0.647294,0.18408848,0.16861752,0.55271572,0.21580976,0.23147452
7,5000,100,0.4054651081081644,0.01,common,500000,250000,-2.0218689949807644,-1.2028109133687603,-0.2088770340586156,0.00517040066565482,8.576852164782205e-4,7.317975753869479e-4,0.00517040066565482,0.00507114196099667,0.19999993341267577,0.20000002526086372,0.6000000413264265,0.23204822032152483,0.2161804872992421,0.5517712923791935,0.16795164650382666,0.18381956322248533,0.6482287902736594,0.20001832,0.19998976,0.59999192,0.23214424,0.21620532,0.55165044,0.1678924,0.1837742,0.6483334
8,5000,100,0.4054651081081644,0.02,common,500000,250000,-2.0330244414880587,-1.2098390497118188,-0.21092987353681517,0.01015443025636524,0.00174309545787781,0.00146773080951095,0.01015443025636524,0.01006576432483053,0.19999998431538857,0.20000000144482133,0.60000001423971006,0.23188826801018592,0.21609810412897493,0.5520136278607617,0.16811170062059122,0.18390189876066773,0.6479864006186584,0.19997844,0.20006284,0.59995872,0.23200144,0.21621016,0.5517884,0.16795544,0.18391552,0.64812904
9,5000,100,0.4054651081081644,0.05,common,500000,250000,-2.0675496033957668,-1.231591024628098,-0.21728371991256432,0.02491590475441047,0.00440168801369788,0.00388730281666592,0.02491590475441047,0.02505788659760843,0.19999985069048593,0.2000000560923625,0.6000000932171329,0.2314029203717432,0.2158485936136494,0.5527484860145887,0.1685967810092287,0.18415151857107556,0.6472517004196771,0.19982608,0.20003302,0.6001409,0.23134628,0.21589836,0.55275536,0.16830588,0.18416768,0.64752644
10,5000,100,0.4054651081081644,0.01,bell,500000,250000,-2.0218684352947047,0.20273259646872627,2.4273336849138403,0.00500303154299657,0.00115371221286086,0.00196366136735086,0.00500303154299657,0.00502359009540198,0.09999996247212084,0.4000000479717798,0.49999998955608166,0.1179764536892138,0.432282341307482,0.4497412050032865,0.08202347125502789,0.36771775463607753,0.5502587741088769,0.0999423,0.40004526,0.50001244,0.11789608,0.4323796,0.44972432,0.08198852,0.36771092,0.55030056
