scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,N,m,gamma0,gamma1,gamma2
1,5000,100,0.4054651081081644,0.01,even,500000,250000,-0.9116467050103492,0.20273254518548428,1.3171117938886323
2,5000,100,0.4054651081081644,0.02,even,500000,250000,-0.9172139192349468,0.2027325416295236,1.3226790007905456
3,5000,100,0.4054651081081644,0.05,even,500000,250000,-0.9344430726917669,0.20273252995157484,1.339908132540896
4,5000,100,0.4054651081081644,0.01,rare,500000,250000,0.6143421759537704,1.6082760389321369,2.427333280145933
5,5000,100,0.4054651081081644,0.02,rare,500000,250000,0.6163950682600352,1.6153043864494028,2.4384892349566307
6,5000,100,0.4054651081081644,0.05,rare,500000,250000,0.6227488348760647,1.637056118596401,2.4730146124611814
7,5000,100,0.4054651081081644,0.01,common,500000,250000,-2.0218689949807733,-1.202810913368765,-0.20887703405861735
8,5000,100,0.4054651081081644,0.02,common,500000,250000,-2.03302444148805,-1.2098390497118097,-0.21092987353681095
9,5000,100,0.4054651081081644,0.05,common,500000,250000,-2.0675496033957734,-1.2315910246281,-0.2172837199125631
10,5000,100,0.4054651081081644,0.01,bell,500000,250000,-2.0218684352947434,0.2027325964687167,2.4273336849138776
11,5000,100,0.4054651081081644,0.02,bell,500000,250000,-2.033024312465672,0.20273263575466627,2.4384898209418506
12,5000,100,0.4054651081081644,0.05,bell,500000,250000,-2.0675484569665277,0.20273262874513007,2.473013951513489
13,5000,100,0.4054651081081644,0.01,U-shape,500000,250000,-0.20887697644272363,0.20273253480966125,0.6143420544131364
14,5000,100,0.4054651081081644,0.02,U-shape,500000,250000,-0.21092993642491178,0.2027325272776752,0.616395002732702
15,5000,100,0.4054651081081644,0.05,U-shape,500000,250000,-0.21728347088655864,0.20273249113471442,0.6227484811751647
16,5000,100,0.4054651081081644,0.01,bell2,500000,250000,-2.0218684583855335,1.0624921415811455,2.4273331828609064
17,5000,100,0.4054651081081644,0.02,bell2,500000,250000,-2.0330237530510877,1.0667846664317622,2.4384904540346226
18,5000,100,0.4054651081081644,0.05,bell2,500000,250000,-2.067548284392475,1.0800675585227733,2.4730141820706155
